CUSTNAME,REGION,PARTNUM,REVENUE,COST,MARGIN
A&F WHOLESALE INSULATION,01-East,735602110,11028,3418,7610
A&F WHOLESALE INSULATION,01-East,770200000,10953,2403.03,8549.97
A&F WHOLESALE INSULATION,01-East,737271000,6025.7,9870.84,-3845.14
A&F WHOLESALE INSULATION,01-East,770540000,4897.38,474.88,4422.5
A&F WHOLESALE INSULATION,01-East,733525600,4692.5,868.02,3824.48
A&F WHOLESALE INSULATION,01-East,764821000,4390,1356.36,3033.64
A&F WHOLESALE INSULATION,01-East,738521000,2373.12,1601.27,771.85
A&F WHOLESALE INSULATION,01-East,739561200,1628.8,659.65,969.15
A&F WHOLESALE INSULATION,01-East,764781000,1594,408.9,1185.1
A&F WHOLESALE INSULATION,01-East,770512000,1192.55,88.67,1103.88
A&F WHOLESALE INSULATION,01-East,733211050,968,223.64,744.36
A&F WHOLESALE INSULATION,01-East,734851000,860.58,182.8,677.78
A&F WHOLESALE INSULATION,01-East,739541200,829.44,256.39,573.05
A&F WHOLESALE INSULATION,01-East,764902000,606,191.56,414.44
A&F WHOLESALE INSULATION,01-East,735750000,516,127.1,388.9
A&F WHOLESALE INSULATION,01-East,734611100,415.05,81.32,333.73
A&F WHOLESALE INSULATION,01-East,739561000,404.64,170.44,234.2
A&F WHOLESALE INSULATION,01-East,734311100,308.92,35.3,273.62
A&F WHOLESALE INSULATION,01-East,733141200,271.2,66.98,204.22
A&F WHOLESALE INSULATION,01-East,733464500,268,65.06,202.94
A&F WHOLESALE INSULATION,01-East,735752000,258,64.44,193.56
A. R. THOMSON LTD.,07-Canada Direct,770210000,460,31.52,428.48
A.C. MILLER CONCRETE,01-East,764481000,23006,1404.61,21601.39
A.C. MILLER CONCRETE,01-East,764461006,776,54.5,721.5
"ABLE AEROSPACE, INC.",01-East,734311100,381.48,33.7,347.78
"ABP INDUCTION, LLC",02-Central,733671000,16167.63,2322.05,13845.58
"ABP INDUCTION, LLC",02-Central,733403300,9407.2,921.11,8486.09
"ABP INDUCTION, LLC",02-Central,770460000,8136.5,608.69,7527.81
"ABP INDUCTION, LLC",02-Central,734311100,1414.8,134.81,1279.99
ABSORPTION CORP.,01-East,764221000,476,33.66,442.34
ACCEL-RF CORPORATION,01-East,733141200,520,66.98,453.02
ACCELLENT ENDOSCOPY,02-Central,733211050,958,111.82,846.18
ACCURIDE CAMDEN,02-Central,739541000,564.48,71.62,492.86
ACME INSULATION INC,02-Central,735602000,115915,38635.48,77279.52
ACME INSULATION INC,02-Central,735602110,82910,28292.45,54617.55
ACME INSULATION INC,02-Central,735752000,29860,10450.74,19409.26
ACME SPECIALTIES INC,01-East,733545700,1079,133.91,945.09
ACS INDUSTRIES INC.,01-East,740382101,165294,57490.21,107803.79
ACS INDUSTRIES INC.,01-East,733011000,4800,1200.36,3599.64
ACTION INDUSTRIAL GROUP,02-Central,733832000,2556,556.68,1999.32
ACTION INDUSTRIAL GROUP,02-Central,733721000,300,69.32,230.68
ADVANCE COOLING,01-East,739781100,394.88,95.21,299.67
ADVANCE THERMAL CORP,01-East,768221130,131510.4,39169.8,92340.6
ADVANCE THERMAL CORP,01-East,733201000,18278,4679.78,13598.22
ADVANCE THERMAL CORP,01-East,733151500,17460,3704.05,13755.95
ADVANCE THERMAL CORP,02-Central,768221130,44990.4,13400.19,31590.21
ADVANCE THERMAL CORP,02-Central,733151500,3340,619.98,2720.02
ADVANCE THERMAL CORP,02-Central,768122000,1944,671.13,1272.87
ADVANCE THERMAL CORP,02-Central,733201000,767.6,168.85,598.75
ADVANCED CLIMATE TECH,01-East,770560000,597,89.5,507.5
ADVANCED RADIATION CORP,01-East,734211200,3785.12,369.72,3415.4
ADVANCED TECH SERVICES,02-Central,770580000,1598,89.66,1508.34
ADVANCED TECH SERVICES,02-Central,739681100,462.06,207,255.06
ADVANCED TECH SERVICES,02-Central,739781100,410.72,163.84,246.88
ADVANCED THERMAL BATTERIE,02-Central,733464400,313,43.37,269.63
ADVSEAL,02-Central,770310000,518,45.47,472.53
AECOM,01-East,770722000,1342,38.38,1303.62
AECOM,01-East,770930000,1054.5,23.77,1030.73
AERO ENGINEERING & MFG,01-East,771100000,5400,146.93,5253.07
AERO ENGINEERING & MFG,01-East,771102000,967,22.98,944.02
AERO TUBE TECHNOLOGIES,01-East,770800000,2736,51.1,2684.9
AEROJET,02-Central,733403200,1133,99.17,1033.83
AEROJET,02-Central,733383000,1117.6,163.93,953.67
"AFTECH, LLC.",02-Central,734311100,785.84,69,716.84
AGIS,01-East,739561100,56288.4,24606.26,31682.14
AGIS,01-East,740063000,38955.5,12193.45,26762.05
AGIS,01-East,764822000,15719.6,2604.25,13115.35
AGIS,01-East,734311100,12846.96,1478,11368.96
AGIS,01-East,777601000,4914.82,1366.94,3547.88
AGIS,01-East,734900000,4603.3,1637.23,2966.07
AGIS,01-East,764781040,3262.1,659.07,2603.03
AGIS,01-East,764482000,2740.3,636.09,2104.21
AGIS,01-East,739541100,2550.92,648.78,1902.14
AGIS,01-East,734910000,2068.55,421.22,1647.33
AGIS,01-East,764522000,1883.2,370.2,1513
AGIS,01-East,764762000,1677,454.39,1222.61
AGIS,01-East,743975000,1492,154.1,1337.9
AGIS,01-East,739761100,1214.15,603.28,610.87
AGIS,01-East,771170000,1119.85,75.47,1044.38
AGIS,01-East,738521000,1110.78,573.81,536.97
AGIS,01-East,739450000,756.22,390.35,365.87
AGIS,01-East,739521100,690.14,139.38,550.76
AGIS,01-East,764601000,473.55,93,380.55
AGIS,01-East,740023000,463.34,118.54,344.8
AGIS,01-East,764862000,429.15,78.55,350.6
AGIS,01-East,733525600,427,65.49,361.51
AGIS,01-East,764821000,385.4,62.62,322.78
AGIS,01-East,793330000,288.8,53.02,235.78
AGIS,01-East,793330074,139,48.23,90.77
AGIS,01-East,734611100,131.29,26.96,104.33
AGROTEK SERVICES INC.,02-Central,777992000,2400,1300.68,1099.32
AIR LIQUIDE AT REC,01-East,734900000,203.6,37.83,165.77
AIR PRODUCTS & CHEMICALS,01-East,764761000,508,30.71,477.29
AIR PRODUCTS & CHEMICALS,01-East,764781000,454,20.45,433.55
AIR PRODUCTS & CHEMICALS,01-East,764821000,430,15.36,414.64
AJAX-TOCCO MAGNETHERMIC,02-Central,738521000,10058.95,3501.13,6557.82
AJAX-TOCCO MAGNETHERMIC,02-Central,733525500,2641,260.12,2380.88
AJAX-TOCCO MAGNETHERMIC,02-Central,733586500,1857.6,181.35,1676.25
AJAX-TOCCO MAGNETHERMIC,02-Central,777601000,1183.36,202.84,980.52
AJAX-TOCCO MAGNETHERMIC,02-Central,764461006,1125.2,81.75,1043.45
AJAX-TOCCO MAGNETHERMIC,02-Central,734711100,536.16,81.14,455.02
AJAX-TOCCO MAGNETHERMIC,02-Central,733464500,298,29.52,268.48
AKRO-FIREGUARD,01-East,726020019,231.5,22.61,208.89
ALBATROSS UV,01-East,764601000,326,13.29,312.71
ALBEMARLE CORPORATION,02-Central,764901000,3017,112.46,2904.54
ALBERTUS ENGINEERING INC.,01-East,734311100,700,70.6,629.4
ALCHEMY SOUTH,02-Central,720219100,2444.7,92.16,2352.54
ALCOA INC.,02-Central,770290000,3109.5,229.76,2879.74
ALCOA TECH CENTER,02-Central,770200000,630,40.79,589.21
ALCOA,01-East,724401150,28791,7594.88,21196.12
ALCOA,01-East,724401500,1620,370.66,1249.34
ALCOA,02-Central,793330000,11489.7,1917.22,9572.48
ALCOA,02-Central,739390000,9116,4044,5072
ALCOA,02-Central,733464500,1755,295.2,1459.8
ALCOA,02-Central,733464600,702,125.26,576.74
ALCOA,02-Central,766161000,512.5,51.41,461.09
ALCOA,02-Central,739370000,379.52,138.24,241.28
ALL TEMP INSULATION,01-East,735752000,23047,6722.23,16324.77
ALLIANCE AIRCRAFT GROUP,02-Central,770520000,958.5,41.85,916.65
ALLIANCE REFRACTORIES LTD,02-Central,764821000,370,153.58,216.42
ALLIANCE REFRACTORIES LTD,07-Canada Direct,754864016,491413.86,377394.44,114019.42
ALLIANCE REFRACTORIES LTD,07-Canada Direct,768221000,411732,159990.19,251741.81
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779958212,200475,96348.62,104126.38
ALLIANCE REFRACTORIES LTD,07-Canada Direct,766121000,199800,116694.75,83105.25
ALLIANCE REFRACTORIES LTD,07-Canada Direct,754844006,192535.2,133772.19,58763.01
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764821000,109520,45851.87,63668.13
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764901000,109520,47651.16,61868.84
ALLIANCE REFRACTORIES LTD,07-Canada Direct,793330000,98919,19866.01,79052.99
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779957821,83174.4,53602.44,29571.96
ALLIANCE REFRACTORIES LTD,07-Canada Direct,754884006,72111.6,43737.31,28374.29
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764601000,67160,32320.98,34839.02
ALLIANCE REFRACTORIES LTD,07-Canada Direct,754844005,62762.7,43166.04,19596.66
ALLIANCE REFRACTORIES LTD,07-Canada Direct,754904006,53410.5,27415.8,25994.7
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779959405,43036,44094.36,-1058.36
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779958205,37350,18889.2,18460.8
ALLIANCE REFRACTORIES LTD,07-Canada Direct,718500000,34160.64,10960.16,23200.48
ALLIANCE REFRACTORIES LTD,07-Canada Direct,771500000,29436.75,3612.13,25824.62
ALLIANCE REFRACTORIES LTD,07-Canada Direct,718501000,28288,8642.05,19645.95
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779959402,27993.6,27528.6,465
ALLIANCE REFRACTORIES LTD,07-Canada Direct,733211000,27060,10658.09,16401.91
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779958200,26298,11825.5,14472.5
ALLIANCE REFRACTORIES LTD,07-Canada Direct,754924013,23424,14577.03,8846.97
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764901073,20720,20412,308
ALLIANCE REFRACTORIES LTD,07-Canada Direct,795551000,20240,14233.08,6006.92
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779959403,19640,16458.84,3181.16
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779980291,18101.16,13629.55,4471.61
ALLIANCE REFRACTORIES LTD,07-Canada Direct,766081010,17920,9610.09,8309.91
ALLIANCE REFRACTORIES LTD,07-Canada Direct,768041000,16520,6998.83,9521.17
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764481000,13068,6871.85,6196.15
ALLIANCE REFRACTORIES LTD,07-Canada Direct,767970140,11875,4612.36,7262.64
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779957176,11815.2,10542.14,1273.06
ALLIANCE REFRACTORIES LTD,07-Canada Direct,768231000,10956,3481.07,7474.93
ALLIANCE REFRACTORIES LTD,07-Canada Direct,718551000,10608,3265.44,7342.56
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764221000,9720,6071.86,3648.14
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779959412,9540,4508.63,5031.37
ALLIANCE REFRACTORIES LTD,07-Canada Direct,771404000,9192.75,558.12,8634.63
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764821073,8880,8748,132
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779959406,8808.8,9123.56,-314.76
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779957053,8800,6134.68,2665.32
ALLIANCE REFRACTORIES LTD,07-Canada Direct,793260074,7960,3133.48,4826.52
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779956945,6612,5187.55,1424.45
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764521000,6600,3191.29,3408.71
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779957820,5856,4560.16,1295.84
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779958210,5662.8,4760.15,902.65
ALLIANCE REFRACTORIES LTD,07-Canada Direct,771502000,5607,687.06,4919.94
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779959401,5077.44,4837.88,239.56
ALLIANCE REFRACTORIES LTD,07-Canada Direct,727000025,4789.5,2901.73,1887.77
ALLIANCE REFRACTORIES LTD,07-Canada Direct,768121000,4740,1761.36,2978.64
ALLIANCE REFRACTORIES LTD,07-Canada Direct,734651200,3972,1763.9,2208.1
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779958211,3938.4,3574.84,363.56
ALLIANCE REFRACTORIES LTD,07-Canada Direct,733464500,3920,1180.77,2739.23
ALLIANCE REFRACTORIES LTD,07-Canada Direct,776131000,2860,2602.2,257.8
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779957054,2700,1919.82,780.18
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779956598,2643.84,1719.54,924.3
ALLIANCE REFRACTORIES LTD,07-Canada Direct,779958201,2629.6,1374.32,1255.28
ALLIANCE REFRACTORIES LTD,07-Canada Direct,770722000,2476,171.52,2304.48
ALLIANCE REFRACTORIES LTD,07-Canada Direct,734311100,2432.4,529.52,1902.88
ALLIANCE REFRACTORIES LTD,07-Canada Direct,777601000,1999.84,1072.97,926.87
ALLIANCE REFRACTORIES LTD,07-Canada Direct,777642000,1984,1013.44,970.56
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764341000,1640,917.4,722.6
ALLIANCE REFRACTORIES LTD,07-Canada Direct,771152000,1291,90.76,1200.24
ALLIANCE REFRACTORIES LTD,07-Canada Direct,770850000,1238,94.48,1143.52
ALLIANCE REFRACTORIES LTD,07-Canada Direct,771000000,1232,82.45,1149.55
ALLIANCE REFRACTORIES LTD,07-Canada Direct,776101000,1180,914.2,265.8
ALLIANCE REFRACTORIES LTD,07-Canada Direct,734910000,1110,513.48,596.52
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764861000,1070,507,563
ALLIANCE REFRACTORIES LTD,07-Canada Direct,771100000,719,44.75,674.25
ALLIANCE REFRACTORIES LTD,07-Canada Direct,771102000,719,45.96,673.04
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764762000,672,363.51,308.49
ALLIANCE REFRACTORIES LTD,07-Canada Direct,733211050,492,198.78,293.22
ALLIANCE REFRACTORIES LTD,07-Canada Direct,734890000,453.56,198.96,254.6
ALLIANCE REFRACTORIES LTD,07-Canada Direct,733423700,249.6,72.44,177.16
ALLIANCE REFRACTORIES LTD,07-Canada Direct,733444200,204,69.38,134.62
ALLIANCE REFRACTORIES LTD,07-Canada Direct,764342000,168,91.56,76.44
ALLIANCE REFRACTORIES LTD,07-Canada Direct,733742000,136,81.75,54.25
ALLIED MINERAL PRODUCTS I,02-Central,779988176,66368,50759.89,15608.11
ALLIED MINERAL PRODUCTS I,02-Central,779981056,28774.4,20888.76,7885.64
ALLIED MINERAL PRODUCTS I,02-Central,779981057,13920,10024.72,3895.28
ALLIED MINERAL PRODUCTS I,02-Central,779988169,9868.8,9190.6,678.2
ALLIED MINERAL PRODUCTS I,02-Central,770360000,8703.2,578.58,8124.62
ALLIED MINERAL PRODUCTS I,02-Central,779980081,8406,7577.38,828.62
ALLIED MINERAL PRODUCTS I,02-Central,737301000,5481.48,1962.9,3518.58
ALLIED MINERAL PRODUCTS I,02-Central,777902700,3687.39,1630.8,2056.59
ALLIED MINERAL PRODUCTS I,02-Central,737912200,588.2,86.72,501.48
ALLIED MINERAL PRODUCTS I,02-Central,770220000,420.9,28.44,392.46
ALLIED MINERAL PRODUCTS I,02-Central,739561000,201.6,86.19,115.41
ALPHA 1,02-Central,734311100,13695,1203.6,12491.4
ALPHA 1,02-Central,733444300,10748,1449.72,9298.28
ALPHA 1,02-Central,766121000,875,27.25,847.75
ALPHABET ENERGY INC,01-East,792654000,1024,321.9,702.1
ALPHABET ENERGY INC,01-East,792624000,666,86.09,579.91
ALPHABET ENERGY INC,01-East,739561200,421.12,76.67,344.45
ALPHABET ENERGY INC,01-East,739370000,364.8,138.24,226.56
ALSIPS BUILDING PRODUCTS,07-Canada Direct,735602000,63680,10981.19,52698.81
ALSIPS BUILDING PRODUCTS,07-Canada Direct,735890000,20700,4773.62,15926.38
ALSTOM POWER INC.,01-East,764902000,4299.75,2011.39,2288.36
ALTAIR TECHNOLOGIES,01-East,740361900,2736,898.74,1837.26
ALYSSA OXLEY,01-East,733423700,371.2,45.26,325.94
AMCOR AMERICAN METALS,02-Central,726020031,985944.8,504525.07,481419.73
AMECO USA,02-Central,727000025,166,14.09,151.91
AMERET LLC,01-East,764261000,424,22.89,401.11
AMERICAN CONTROL & ENGRG,01-East,770560000,3018,172.18,2845.82
AMERICAN CONTROL & ENGRG,01-East,777601000,366.72,72.02,294.7
AMERICAN DESIGN &,01-East,764821000,430,15.36,414.64
"AMERICAN FOAM CAST, INC.",02-Central,734173000,2814,429.92,2384.08
AMERICAN MECHANICAL,02-Central,735602000,174706,53103.1,121602.9
AMERICAN MECHANICAL,02-Central,735750000,7664.8,2235.41,5429.39
AMERICAN MECHANICAL,02-Central,735602010,465,275.22,189.78
AMERICAN NATIONAL CARBIDE,01-East,739761100,7695.36,2572.81,5122.55
AMERICAN POWER SERVICE,01-East,770500000,2043,83.6,1959.4
AMERICAN RAILCAR,01-East,764706120,1199.52,326.91,872.61
AMERICAN RAILCAR,07-Canada Direct,764706120,2346.12,588.9,1757.22
AMERICRAFT MFG CO.,02-Central,733721000,286.2,48.9,237.3
"AMERISAFE, INC",01-East,733725500,205.2,51.76,153.44
"AMERISAFE, INC",02-Central,735602000,130460,44474.32,85985.68
"AMERISAFE, INC",02-Central,764901000,17545,4865.08,12679.92
"AMERISAFE, INC",02-Central,735602110,16430,6037.78,10392.22
"AMERISAFE, INC",02-Central,764861000,10493,2883.16,7609.84
"AMERISAFE, INC",02-Central,764821000,8240,2081.71,6158.29
"AMERISAFE, INC",02-Central,735750000,3192,1304.73,1887.27
"AMERISAFE, INC",02-Central,739561200,2122.24,451.34,1670.9
"AMERISAFE, INC",02-Central,764261000,1950,758.2,1191.8
"AMERISAFE, INC",02-Central,764341000,1890,706.97,1183.03
"AMERISAFE, INC",02-Central,724281400,800,178.16,621.84
"AMERISAFE, INC",02-Central,733725500,205.2,51.76,153.44
"AMERISAFE, INC",02-Central,764461006,84,27.94,56.06
AMERITHERM INC.,01-East,766081010,1101,36.37,1064.63
AMERITHERM INC.,01-East,766121000,875,27.25,847.75
AMES TRUE TEMPER,02-Central,739390000,8386.72,3720.48,4666.24
AMES TRUE TEMPER,02-Central,739781100,3159.04,761.68,2397.36
AMES TRUE TEMPER,02-Central,764522000,666,26.72,639.28
AMES TRUE TEMPER,02-Central,774201000,589,157.42,431.58
AMES TRUE TEMPER,02-Central,776131000,445,260.22,184.78
AMES TRUE TEMPER,02-Central,777601000,409.92,58.8,351.12
AMPCO METAL,02-Central,770260000,1957.5,140.66,1816.84
AMPCO METAL,02-Central,770220000,447,28.44,418.56
"AMSTED RAIL COMPANY, INC.",02-Central,780770000,6915.6,1091.36,5824.24
"AMSTED RAIL COMPANY, INC.",02-Central,780730000,3175.2,582.38,2592.82
ANCHOR ACQUISTION LLC,02-Central,770220000,471,27.35,443.65
ANCHOR INSULATION,01-East,768144200,3070,526.37,2543.63
ANTHONY INTERNATIONAL,01-East,764521000,973,39.87,933.13
APCO SERVICES,01-East,770570000,3316.5,201.46,3115.04
APEX DISTRIBUTING INC,01-East,735602000,23968,5841.31,18126.69
APEX DISTRIBUTING,01-East,735602000,90480,25799.33,64680.67
APEX PIPELINE SERVICES,02-Central,768222000,4396,250.6,4145.4
APPLIED INDUSTRIAL TECH.,01-East,738561000,20198.72,9345.87,10852.85
APPLIED INDUSTRIAL TECH.,01-East,733525600,14175,2075.84,12099.16
APPLIED INDUSTRIAL TECH.,01-East,770222000,9348.15,800.79,8547.36
APPLIED INDUSTRIAL TECH.,01-East,764821000,3362.2,262.86,3099.34
APPLIED INDUSTRIAL TECH.,01-East,770522000,3337.1,205.59,3131.51
APPLIED INDUSTRIAL TECH.,01-East,770560000,1347.3,89.5,1257.8
APPLIED INDUSTRIAL TECH.,01-East,777601000,738.72,130.82,607.9
APPLIED INDUSTRIAL TECH.,01-East,724003000,591.15,81.82,509.33
APPLIED INDUSTRIAL TECH.,01-East,724281200,510.9,89.08,421.82
APPLIED INDUSTRIAL TECH.,01-East,764341000,406,47.97,358.03
APPLIED INDUSTRIAL TECH.,01-East,733151600,310.6,46.64,263.96
APPLIED INDUSTRIAL TECH.,02-Central,733525600,14332.5,2114.76,12217.74
APPLIED INDUSTRIAL TECH.,02-Central,733525500,6675,974.77,5700.23
APPLIED INDUSTRIAL TECH.,02-Central,733211000,3996.2,793.13,3203.07
APPLIED INDUSTRIAL TECH.,02-Central,737912200,3363.45,541.47,2821.98
APPLIED INDUSTRIAL TECH.,02-Central,770560000,2856.3,175.59,2680.71
APPLIED INDUSTRIAL TECH.,02-Central,734890000,2010.7,397.92,1612.78
APPLIED INDUSTRIAL TECH.,02-Central,734990000,1945.48,274.67,1670.81
APPLIED INDUSTRIAL TECH.,02-Central,766121000,1602.8,109,1493.8
APPLIED INDUSTRIAL TECH.,02-Central,770520000,770.1,48.32,721.78
APPLIED INDUSTRIAL TECH.,02-Central,734611100,483.07,81.53,401.54
APPLIED INDUSTRIAL TECH.,02-Central,739641100,393.8,137.43,256.37
APPLIED INDUSTRIAL TECH.,02-Central,733511000,348.75,75.22,273.53
APPLIED INDUSTRIAL TECH.,02-Central,734910000,307.7,53.09,254.61
APPLIED INDUSTRIAL,07-Canada Direct,777601000,386.72,72.02,314.7
APPLIED POROUS TECH.,02-Central,740361900,18662.4,7942.53,10719.87
APPLIED POWER PRODUCTS,02-Central,733464500,596,59.04,536.96
APPLIED POWER PRODUCTS,02-Central,733510000,537.5,70.86,466.64
APPLIED POWER PRODUCTS,02-Central,733151600,352,46.64,305.36
APPLIED PRODUCTS INC.,02-Central,733403100,1107.25,92.79,1014.46
APPLIED TECHNICAL SERVICE,01-East,754067000,1935,617.82,1317.18
APPLIED TECHNICAL SERVICE,01-East,739450000,708.91,260.23,448.68
APPLIED TECHNICAL SERVICE,01-East,764521000,325.8,39.81,285.99
APPROVED AERONAUTICS,01-East,733464500,626,65.05,560.95
APPROVED AERONAUTICS,01-East,733444200,348,38.64,309.36
ARCELORMITTAL,02-Central,770560000,1509,86.09,1422.91
ARCHIE BRAY FOUNDATION,01-East,734351200,1890.75,143.35,1747.4
AREMCO PRODUCTS INC,01-East,734000000,11289.75,1365.74,9924.01
AREMCO PRODUCTS INC,01-East,734030000,2236.5,494.66,1741.84
AREMCO PRODUCTS INC,01-East,734040000,1912,484.88,1427.12
ARGOS CEMENT LLC,02-Central,770600000,3449.6,192.64,3256.96
ARI - MARMADUKE,01-East,764706120,74370.24,20268.3,54101.94
ARI - MARMADUKE,01-East,764652002,34003.2,5785.32,28217.88
ARI - MARMADUKE,02-Central,764706120,1645267.2,437262.08,1208005.12
ARI - MARMADUKE,02-Central,764652002,517090.56,88883.55,428207.01
ARI - MARMADUKE,02-Central,764643054,9828,2225.83,7602.17
ARI - MARMADUKE,02-Central,764262000,252,46,206
ARMENA REFINING USA,01-East,764481000,1758,86,1672
ARMIL / C F S INC,02-Central,734830000,79011.7,15630.42,63381.28
ARMIL / C F S INC,02-Central,793000000,71560,11121.19,60438.81
ARMIL / C F S INC,02-Central,771320000,70906,23024.6,47881.4
ARMIL / C F S INC,02-Central,754847000,65818.8,21558.67,44260.13
ARMIL / C F S INC,02-Central,764821000,61797.8,26521.73,35276.07
ARMIL / C F S INC,02-Central,737851000,55543.04,37139.2,18403.84
ARMIL / C F S INC,02-Central,718507000,55064.88,10624.61,44440.27
ARMIL / C F S INC,02-Central,718500000,54956.92,10579.03,44377.89
ARMIL / C F S INC,02-Central,781650000,44323.2,13715.94,30607.26
ARMIL / C F S INC,02-Central,781610000,42086.94,12695.8,29391.14
ARMIL / C F S INC,02-Central,766121000,41432,25148.89,16283.11
ARMIL / C F S INC,02-Central,726020015,40240.8,13806.34,26434.46
ARMIL / C F S INC,02-Central,737912200,40058.8,8777.68,31281.12
ARMIL / C F S INC,02-Central,770942000,38821.6,1709.27,37112.33
ARMIL / C F S INC,02-Central,733211000,36766.4,7828.79,28937.61
ARMIL / C F S INC,02-Central,734311100,35989.36,4435.63,31553.73
ARMIL / C F S INC,02-Central,780710000,34878,11542.35,23335.65
ARMIL / C F S INC,02-Central,777601000,33883.07,9918.19,23964.88
ARMIL / C F S INC,02-Central,792785000,27829.44,6335.87,21493.57
ARMIL / C F S INC,02-Central,768021000,24965.6,15819.03,9146.57
ARMIL / C F S INC,02-Central,733151500,24962.4,4148.08,20814.32
ARMIL / C F S INC,02-Central,780650000,24425.94,9111.62,15314.32
ARMIL / C F S INC,02-Central,733152500,22460,8546.96,13913.04
ARMIL / C F S INC,02-Central,739561200,21781.25,8020.07,13761.18
ARMIL / C F S INC,02-Central,781670000,20216.94,5615.64,14601.3
ARMIL / C F S INC,02-Central,777904301,19956.49,9045,10911.49
ARMIL / C F S INC,02-Central,770392000,19391.4,1683.33,17708.07
ARMIL / C F S INC,02-Central,764827505,17374.5,8180.85,9193.65
ARMIL / C F S INC,02-Central,792734000,16934.4,2960.64,13973.76
ARMIL / C F S INC,02-Central,740283401,16741.34,3346.87,13394.47
ARMIL / C F S INC,02-Central,764822000,16290,6997.21,9292.79
ARMIL / C F S INC,02-Central,780690000,16230.29,5784.42,10445.87
ARMIL / C F S INC,02-Central,733484900,15449.6,2898.03,12551.57
ARMIL / C F S INC,02-Central,733505300,15380,2650.94,12729.06
ARMIL / C F S INC,02-Central,782050000,14774.4,5317.55,9456.85
